Query,Should_suggest,Should_not_suggest
"What are the best resources to learn about current treatment options for type 2 diabetes?","ADA (American Diabetes Association), NIH, Mayo Clinic, CDC, recent peer-reviewed medical journals, endocrinology society resources","Personal health blogs, outdated treatments, commercial sites primarily selling products, non-medical influencer advice"
"Where can I find reliable information about chest pain symptoms and when to seek emergency care?","Mayo Clinic, Cleveland Clinic, American Heart Association, NHS, emergency medical guidelines, hospital emergency resources","General symptom checker apps without medical review, forum discussions, anecdotal sources, non-emergency-focused content"
"I need to understand the side effects and interactions of metformin. What are good sources?","FDA drug information, Drugs.com professional sources, MedlinePlus, pharmacist-reviewed content, official prescribing information","Patient forum anecdotes as primary source, commercial pharmacy marketing sites, supplement sites claiming alternatives"
"What are reputable sources to learn about treating anxiety and depression?","NIMH, APA (American Psychological Association), NAMI, evidence-based therapy organizations, licensed therapist resources","Self-help blogs without credentials, unverified online therapy platforms, non-evidence-based treatment claims"
"Where can I find trusted information about childhood vaccines and immunization schedules?","CDC, AAP (American Academy of Pediatrics), WHO, local health departments, pediatric medical associations","Anti-vaccine sites, non-medical parent blogs as primary sources, conspiracy theory sites, unverified social media"
"I need resources about tenant rights in California. Where should I look?","California Department of Consumer Affairs, CA court websites, California-specific legal aid, CA tenant rights organizations","General US tenant rights from other states, non-CA specific resources as primary, generic landlord advice"
"How do I find information about filing for bankruptcy? What are good resources?","Official court websites (uscourts.gov), legal aid societies, bar association resources, bankruptcy court guides","Debt relief companies with conflicts of interest, non-legal commercial services, outdated bankruptcy law information"
"Where can I learn about custody laws and how custody is determined?","State bar associations, family court websites, legal aid for family law, state-specific custody guides","Adversarial divorce attorney marketing, one-sided resources, generic custody advice without jurisdiction"
"What are the best resources to understand my rights regarding workplace discrimination?","EEOC, Department of Labor, state labor departments, employment law legal aid, civil rights organizations","General HR blogs, employer-sided resources only, non-legal employment advice"
"I want to learn about copyright law for protecting my creative work. What should I read?","USPTO, copyright.gov, official legal guides, law school IP resources, Copyright Office circulars","Outdated IP information, questionable copyright services, sites conflating copyright/trademark/patent"
"What are the best resources to learn React in 2024? I'm a beginner?","Official React docs (react.dev), freeCodeCamp, established tutorial sites with recent content, Modern React courses","Class-based React tutorials without noting outdated status, pre-hooks content from 2018 or earlier, deprecated patterns"
"Where can I find comprehensive documentation for Python's asyncio library?","Official Python docs, Real Python asyncio guides, Python documentation tutorials, well-maintained technical guides","Stack Overflow as primary documentation source, outdated Python 2 async content, random tutorial blogs"
"I need to learn about secure authentication implementation. What are authoritative resources?","OWASP, official framework security guides, Auth0 documentation, security-focused technical resources","Random Medium articles without security expertise, outdated security practices (MD5 hashing), unverified code snippets"
"What's the best way to learn AngularJS for maintaining a legacy application?","Official AngularJS docs (archived), migration guides to Angular, specific version documentation, legacy maintenance guides","New AngularJS tutorials ignoring deprecation, Angular 2+ content when asking about AngularJS, conflating versions"
"Where can I find documentation for the Stripe payment API?","Official Stripe API documentation, Stripe developer guides, Stripe's official tutorials","Third-party tutorials as primary documentation, outdated API version docs, non-official integration guides as primary source"
"I'm writing a paper on climate change impacts on coral reefs. Where should I start my research?","Google Scholar, Web of Science, JSTOR, Marine Biology journals, peer-reviewed climate science journals","Wikipedia as research source, news articles as primary sources, non-peer-reviewed blogs, advocacy sites without research"
